symbol	merge
_	$_
i	$i
e	$e
E	$E
a	$a
O	$O
o	$o
u	$u
y	$y
2	$2
9	$9
@	$@
e~	$e~
9~	$9~
a~	$a~
o~	$o~
j	$j
w	$w
H	$H
p	$p
t	$t
k	$k
b	$b
d	$d
g	$g
f	$f
s	$s
S	$S
v	$v
z	$z
Z	$Z
l	$l
R	$R
m	$m
n	$n
N	$N
G	$G
L	$L
@AW	$AW
#m	$m
@K	$k
D	$d
,	$_
@UW2	$UW2
#9~	$9~
@SH	$S
@UH1	$UH1
@AE0	$AE0
U	$u
#2	$2
@T	$t
!	$!
#l	$l
@S	$s
@AW2	$AW2
I	$I
Y	$Y
@IH0	$IH0
@R	$RR
@UH	$@
@NG	$G
@AA1	$AA1
#O	$O
)	$)
P	$p
@IY1	$IY1
r	$rr
#y	$y
@EH2	$EH2
Z	$Z
@ER1	$ER1
@L	$L
J	$J
F	$f
@OY2	$OY2
M	$m
@N	$n
@OY	$OY0
#t	$t
'	$'
@AY	$AY0
@AO1	$AO1
@AW1	$AW1
#n	$n
#a~	$a~
A	$a
@G	$g
#s	$s
#o	$o
#v	$v
@UH0	$@
#e~	$e~
@OW	$o
@AE2	$AE2
#z	$z
@F	$f
#i	$i
@EY2	$EY2
#b	$b
#f	$f
@OY0	$OY0
@IH2	$IH2
@AH	$AH
@AO0	$O
@ZH	$Z
@AY0	$AY0
@OW1	$OW1
@AY1	$AY1
K	$k
@AA	a
@UW0	$u
@IH1	$IH1
@HH	$H
:	$_
@AO2	$AO2
#o~	$o~
C	$c
@AO	$AO
@IY0	$i
@EH	$E
W	$w
#e	$e
Q	$q
@EH1	$EH1
#@	$@
#9	$9
@CH	$CH
@OW0	$o
#E	$E
?	$?
;	$_
#H	$H
#a	$a
x	$x
@IY2	$IY2
@AW0	$AW0
@UW	$u
@EY0	$e
#N	$N
@OW2	$OW2
@AH1	$AH1
@V	$v
#_	$_
@EY1	$EY1
.	$.
@EY	$e
(	$(
@M	$m
@ER2	$ER2
T	$t
c	$c
q	$q
@W	$w
@AY2	$AY2
h	$H
#d	$d
#G	$G
X	$X
@AE	$AE0
@JH	$JH
@UH2	$UH2
@Y	$j
@P	$p
#R	$R
V	$v
@ER	$ER0
#S	$S
@IY	$IY0
@DH	$DH
@AE1	$AE1
@AH2	$AH2
#w	$w
@AH0	$AH0
@OY1	$OY1
#k	$k
@TH	$TH
#j	$j
@EH0	$E
#u	$u
#p	$p
@UW1	$UW1
-	$_
@AA0	$a
@IH	$IH0
@B	$b
B	$b
@Z	$z
#g	$g
@AA2	$AA2
@D	$d
@ER0	$ER0
" "     $_

