	symbol	merge	id
0	_	$_	90
1	i	$i	74
2	e	$e	28
3	E	$E	21
4	a	$a	48
5	O	$O	60
6	o	$o	23
7	u	$u	95
8	y	$y	15
9	2	$2	57
10	9	$9	58
11	@	$@	79
12	e~	$e~	5
13	9~	$9~	35
14	a~	$a~	11
15	o~	$o~	72
16	j	$j	59
17	w	$w	24
18	H	$H	34
19	p	$p	92
20	t	$t	16
21	k	$k	89
22	b	$b	18
23	d	$d	61
24	g	$g	19
25	f	$f	66
26	s	$s	80
27	S	$S	25
28	v	$v	13
29	z	$z	31
30	Z	$Z	17
31	l	$l	27
32	R	$R	44
33	m	$m	99
34	n	$n	1
35	N	$N	6
36	G	$G	38
37	L	$L	26
38	@AW	$AW	62
39	#m	$m	99
40	@K	$k	89
41	D	$d	61
42	,	$_	90
43	@UW2	$UW2	88
44	#9~	$9~	35
45	@SH	$S	25
46	@UH1	$UH1	41
47	@AE0	$AE0	94
48	U	$u	95
49	#2	$2	57
50	@T	$t	16
51	!	$!	10
52	#l	$l	27
53	@S	$s	80
54	@AW2	$AW2	51
55	I	$I	91
56	Y	$Y	77
57	@IH0	$IH0	39
58	@R	$RR	42
59	@UH	$@	79
60	@NG	$G	38
61	@AA1	$AA1	82
62	#O	$O	60
63	)	$)	65
64	P	$p	92
65	@IY1	$IY1	8
66	r	$rr	12
67	#y	$y	15
68	@EH2	$EH2	45
69	Z	$Z	17
70	@ER1	$ER1	68
71	@L	$L	26
72	J	$J	97
73	F	$f	66
74	@OY2	$OY2	96
75	M	$m	99
76	@N	$n	1
77	@OY	$OY0	37
78	#t	$t	16
79	'	$'	50
80	@AY	$AY0	67
81	@AO1	$AO1	64
82	@AW1	$AW1	54
83	#n	$n	1
84	#a~	$a~	11
85	A	$a	48
86	@G	$g	19
87	#s	$s	80
88	#o	$o	23
89	#v	$v	13
90	@UH0	$@	79
91	#e~	$e~	5
92	@OW	$o	23
93	@AE2	$AE2	53
94	#z	$z	31
95	@F	$f	66
96	#i	$i	74
97	@EY2	$EY2	98
98	#b	$b	18
99	#f	$f	66
100	@OY0	$OY0	37
101	@IH2	$IH2	73
102	@AH	$AH	20
103	@AO0	$O	60
104	@ZH	$Z	17
105	@AY0	$AY0	67
106	@OW1	$OW1	22
107	@AY1	$AY1	52
108	K	$k	89
109	@AA	a	93
110	@UW0	$u	95
111	@IH1	$IH1	75
112	@HH	$H	34
113	:	$_	90
114	@AO2	$AO2	2
115	#o~	$o~	72
116	C	$c	9
117	@AO	$AO	3
118	@IY0	$i	74
119	@EH	$E	21
120	W	$w	24
121	#e	$e	28
122	Q	$q	36
123	@EH1	$EH1	85
124	#@	$@	79
125	#9	$9	58
126	@CH	$CH	46
127	@OW0	$o	23
128	#E	$E	21
129	?	$?	56
130	;	$_	90
131	#H	$H	34
132	#a	$a	48
133	x	$x	33
134	@IY2	$IY2	47
135	@AW0	$AW0	71
136	@UW	$u	95
137	@EY0	$e	28
138	#N	$N	6
139	@OW2	$OW2	43
140	@AH1	$AH1	83
141	@V	$v	13
142	#_	$_	90
143	@EY1	$EY1	40
144	.	$.	4
145	@EY	$e	28
146	(	$(	87
147	@M	$m	99
148	@ER2	$ER2	63
149	T	$t	16
150	c	$c	9
151	q	$q	36
152	@W	$w	24
153	@AY2	$AY2	29
154	h	$H	34
155	#d	$d	61
156	#G	$G	38
157	X	$X	84
158	@AE	$AE0	94
159	@JH	$JH	81
160	@UH2	$UH2	30
161	@Y	$j	59
162	@P	$p	92
163	#R	$R	44
164	V	$v	13
165	@ER	$ER0	86
166	#S	$S	25
167	@IY	$IY0	32
168	@DH	$DH	70
169	@AE1	$AE1	14
170	@AH2	$AH2	55
171	#w	$w	24
172	@AH0	$AH0	7
173	@OY1	$OY1	49
174	#k	$k	89
175	@TH	$TH	69
176	#j	$j	59
177	@EH0	$E	21
178	#u	$u	95
179	#p	$p	92
180	@UW1	$UW1	76
181	-	$_	90
182	@AA0	$a	48
183	@IH	$IH0	39
184	@B	$b	18
185	B	$b	18
186	@Z	$z	31
187	#g	$g	19
188	@AA2	$AA2	78
189	@D	$d	61
190	@ER0	$ER0	86
191	      $_		0
