	symbol	merge	id
0	_	$_	109
1	i	$i	92
2	e	$e	34
3	E	$E	25
4	a	$a	61
5	O	$O	75
6	o	$o	27
7	u	$u	113
8	y	$y	16
9	2	$2	72
10	9	$9	73
11	@	$@	97
12	e~	$e~	5
13	9~	$9~	43
14	a~	$a~	11
15	o~	$o~	90
16	j	$j	74
17	w	$w	28
18	H	$H	42
19	p	$p	111
20	t	$t	17
21	k	$k	108
22	b	$b	20
23	d	$d	77
24	g	$g	22
25	f	$f	82
26	s	$s	98
27	S	$S	29
28	v	$v	13
29	z	$z	37
30	Z	$Z	18
31	l	$l	33
32	R	$R	56
33	m	$m	118
34	n	$n	1
35	N	$N	6
36	G	$G	46
37	L	$L	31
38	@AW	$AW	78
39	#m	$m	118
40	@K	$k	108
41	D	$d	77
42	,	$_	109
43	@UW2	$UW2	107
44	#9~	$9~	43
45	@SH	$S	29
46	@UH1	$UH1	52
47	@AE0	$AE0	112
48	U	$U	115
49	#2	$2	72
50	@T	$t	17
51	!	$!	10
52	#l	$l	33
53	@S	$s	98
54	@AW2	$AW2	64
55	I	$I	110
56	Y	$Y	95
57	@IH0	$IH0	48
58	@R	$RR	53
59	@UH	$UH	21
60	@NG	$G	46
61	@AA1	$AA1	100
62	#O	$O	75
63	)	$)	81
64	P	$p	111
65	@IY1	$IY1	8
66	r	$rr	12
67	#y	$y	16
68	@EH2	$EH2	57
69	#Z	$Z	18
70	@ER1	$ER1	85
71	@L	$L	31
72	J	$J	116
73	F	$f	82
74	@OY2	$OY2	114
75	M	$m	118
76	@N	$n	1
77	@OY	$OY	41
78	#t	$t	17
79	'	$'	63
80	@AY	$AY	50
81	@AO1	$AO1	80
82	@AW1	$AW1	68
83	#n	$n	1
84	#a~	$a~	11
85	A	$a	61
86	@G	$g	22
87	#s	$s	98
88	#o	$o	27
89	#v	$v	13
90	@UH0	$UH0	87
91	#e~	$e~	5
92	@OW	$OW	24
93	@AE2	$AE2	67
94	#z	$z	37
95	@F	$f	82
96	#i	$i	92
97	@EY2	$EY2	117
98	#b	$b	20
99	#f	$f	82
100	@OY0	$OY0	45
101	1@IH2	$IH2	91
102	@AH	$AH	23
103	@AO0	$AO0	54
104	@ZH	$Z	18
105	@AY0	$AY0	84
106	@OW1	$OW1	26
107	@AY1	$AY1	65
108	K	$k	108
109	@AA	$AA	76
110	@UW0	$UW0	30
111	@IH1	$IH1	93
112	@HH	$HH	66
113	:	$_	109
114	@AO2	$AO2	2
115	#o~	$o~	90
116	C	$c	9
117	@AO	$AO	3
118	@IY0	$IY0	38
119	@EH	$EH	83
120	W	$w	28
121	#e	$e	34
122	Q	$q	44
123	@EH1	$EH1	104
124	#@	$@	97
125	#9	$9	73
126	@CH	$CH	58
127	@OW0	$OW0	51
128	#E	$E	25
129	?	$?	70
130	;	$_	109
131	#H	$H	42
132	#a	$a	61
133	x	$x	40
134	@IY2	$IY2	60
135	@AW0	$AW0	89
136	@UW	$UW	19
137	@EY0	$EY0	102
138	#N	$N	6
139	@OW2	$OW2	55
140	@AH1	$AH1	101
141	@V	$v	13
142	#_	$_	109
143	@EY1	$EY1	49
144	.	$.	4
145	@EY	$EY	47
146	(	$(	106
147	@M	$m	118
148	@ER2	$ER2	79
149	T	$t	17
150	c	$c	9
151	q	$q	44
152	@W	$w	28
153	@AY2	$AY2	35
154	h	$HH	66
155	#d	$d	77
156	#G	$G	46
157	X	$X	103
158	@AE	$AE	14
159	@JH	$JH	99
160	@UH2	$UH2	99
161	@Y	$Y	95
162	@P	$p	111
163	#R	$R	56
164	V	$v	13
165	@ER	$ER	32
166	#S	$S	29
167	@IY	$IY	59
168	@DH	$DH	88
169	@AE1	$AE1	15
170	@AH2	$AH2	69
171	#w	$w	28
172	@AH0	$AH0	7
173	@OY1	$OY1	62
174	#k	$k	108
175	@TH	$TH	86
176	#j	$j	74
177	@EH0	$EH0	71
178	#u	$u	113
179	#p	$p	111
180	@UW1	$UW1	94
181	-	$_	109
182	@AA0	$AA0	119
183	@IH	$IH	39
184	@B	$b	20
185	B	$b	20
186	@Z	$z	37
187	#g	$g	22
188	@AA2	$AA2	96
189	@D	$d	77
190	@ER0	$ER0	105
191	  	$_	0
