	symbol	id
0	_	1
1	i	2
2	e	3
3	E	4
4	a	5
5	O	6
6	o	7
7	u	8
8	y	9
9	2	10
10	9	11
11	@	12
12	e~	13
13	9~	14
14	a~	15
15	o~	16
16	j	17
17	w	18
18	H	19
19	p	20
20	t	21
21	k	22
22	b	23
23	d	24
24	g	25
25	f	25
26	s	27
27	S	28
28	v	29
29	z	30
30	Z	31
31	l	32
32	R	33
33	m	34
34	n	35
35	N	36
36	G	37
37	L	38
38	@AW	39
39	#m	40
40	@K	41
41	D	42
42	,	43
43	@UW2	44
44	#9~	45
45	@SH	46
46	@UH1	47
47	@AE0	48
48	U	49
49	#2	50
50	@T	51
51	!	52
52	#l	53
53	@S	54
54	@AW2	55
55	I	56
56	Y	57
57	@IH0	58
58	@R	59
59	@UH	60
60	@NG	61
61	@AA1	62
62	#O	63
63	)	64
64	P	65
65	@IY1	66
66	r	67
67	#y	68
68	@EH2	69
69	#Z	70
70	@ER1	71
71	@L	72
72	J	73
73	F	74
74	@OY2	75
75	M	76
76	@N	77
77	@OY	78
78	#t	79
79	'	80
80	@AY	81
81	@AO1	82
82	@AW1	83
83	#n	84
84	#a~	85
85	A	86
86	@G	87
87	#s	88
88	#o	89
89	#v	90
90	@UH0	91
91	#e~	92
92	@OW	93
93	@AE2	94
94	#z	95
95	@F	96
96	#i	97
97	@EY2	98
98	#b	99
99	#f	100
100	@OY0	101
101	@IH2	102
102	@AH	103
103	@AO0	104
104	@ZH	105
105	@AY0	106
106	@OW1	107
107	 	108
108	@AY1	109
109	K	110
110	@AA	111
111	@UW0	112
112	@IH1	113
113	@HH	114
114	:	115
115	@AO2	116
116	#o~	117
117	C	118
118	@AO	119
119	@IY0	120
120	@EH	121
121	W	122
122	#e	123
123	Q	124
124	@EH1	125
125	#@	126
126	#9	127
127	@CH	128
128	@OW0	129
129	#E	130
130	?	131
131	;	132
132	#H	133
133	#a	134
134	x	135
135	@IY2	136
136	@AW0	137
137	@UW	138
138	@EY0	139
139	#N	140
140	@OW2	141
141	@AH1	142
142	@V	143
143	#_	144
144	@EY1	145
145	.	146
146	@EY	147
147	(	148
148	@M	149
149	@ER2	150
150	T	151
151	c	152
152	q	153
153	@W	154
154	@AY2	155
155	h	156
156	#d	157
157	#G	158
158	X	159
159	@AE	160
160	@JH	161
161	@UH2	162
162	@Y	163
163	@P	164
164	#R	165
165	V	166
166	@ER	167
167	#S	168
168	@IY	169
169	@DH	170
170	@AE1	171
171	@AH2	172
172	#w	173
173	@AH0	174
174	@OY1	175
175	#k	176
176	@TH	177
177	#j	178
178	@EH0	179
179	#u	180
180	#p	181
181	@UW1	182
182	-	183
183	@AA0	184
184	@IH	185
185	@B	186
186	B	187
187	@Z	188
188	#g	189
189	@AA2	190
190	@D	191
191	@ER0	192
